,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
89,0.504,0.407,-9.144,0.0377,0.873,2.19e-05,0.142,0.467,145.72,4DdoInAoNy6cT6Z1AAj6vX,305320
90,0.522,0.892,-6.961,0.037,0.00338,0.00461,0.279,0.898,86.763,0Lo6q647IUY2xo2kZZszw2,228933
91,0.468,0.568,-6.861,0.0295,0.226,0.391,0.0895,0.436,166.048,09n4VZqxSvFJfdtyV0HbCV,313480
92,0.533,0.863,-7.892,0.0483,0.232,0.0881,0.0652,0.757,112.836,0g9YOykbhG0jhDW2m4Y3w8,432067
93,0.898,0.457,-10.539,0.0685,0.973,0.892,0.13,0.853,116.036,68tS8zt1kpPHxunJ7Xq4PI,498971
94,0.615,0.804,-8.6,0.0274,0.00539,0.0063,0.158,0.466,109.316,1aCV7ocnKXsLSb0oX2dmup,231640
95,0.427,0.525,-8.739,0.0462,0.852,0.91,0.106,0.386,99.842,6qQhWIowgtVSz6UFJvG5Ku,187345
96,0.33,0.305,-17.056,0.0375,0.824,0.00471,0.106,0.685,62.326,0irBIwMyqnB2MtUww6P6iY,281093
97,0.3,0.66,-7.536,0.0704,0.485,0.817,0.116,0.189,87.4,3911Bzzv8FHgbitJzXFjxh,260253
98,0.518,0.33,-12.304,0.0257,0.767,1.73e-06,0.117,0.191,81.025,51y5kEOYPs4JHFgbPTvuKe,201200
99,0.569,0.751,-12.826,0.0418,0.365,0.856,0.0561,0.758,105.156,11tRfP7PlShe9hrnnA1cXC,338292
100,0.792,0.503,-8.044,0.0626,0.0369,0.00057,0.0959,0.381,99.97,1rrqJ9QkOBYJlsZgqqwxgB,185093
101,0.828,0.726,-6.389,0.0419,0.106,0.00101,0.103,0.67,113.017,3baPniPXS0iEII8rDUJdYP,212976
102,0.788,0.649,-9.674,0.0532,0.253,0.0136,0.12,0.229,113.009,2kaH2Z8ezDUKf6fNw250rZ,169912
103,0.727,0.6,-4.799,0.24,0.636,5.1e-06,0.106,0.754,199.796,7ErtOGQ9DwyQa3lwP77j4u,216000
104,0.826,0.657,-7.779,0.147,0.204,1.37e-05,0.0668,0.86,118.049,0Em4eY10PGyiBlmjWxcav3,168858
105,0.859,0.551,-7.916,0.149,0.559,0.0,0.194,0.777,102.049,4Gasn91fsCefnN8zM5GjA8,155293
106,0.845,0.7,-8.737,0.0391,0.1,0.00113,0.0984,0.85,119.997,5V9XFfvCG4WP5ZdISOLvaF,166559
107,0.578,0.631,-7.619,0.228,0.314,0.0,0.107,0.794,108.783,1tOp1bXhT9tvydSAGDHdQy,169043
108,0.861,0.797,-5.21,0.11,0.272,0.00635,0.087,0.595,100.05,3BwAHuQhZyL4tOkf36DuQv,187275
109,0.838,0.569,-8.414,0.0529,0.194,0.0377,0.0802,0.63,113.046,6wuMo4ZR83PhlhXhJ1S3VY,190542
110,0.804,0.615,-7.033,0.137,0.404,0.0,0.0987,0.816,100.058,4tr4oHjFijp0EgISHYDIXe,158400
111,0.843,0.725,-7.282,0.0539,0.165,0.00357,0.0948,0.556,120.0,5F4OfeowSReF93KcH2eUcG,150000
112,0.819,0.457,-12.641,0.126,0.00585,0.000127,0.0661,0.61,112.027,6L1UdBhj6v8Ol9qKHBtvLN,296975
113,0.819,0.817,-8.221,0.0698,0.0593,0.201,0.275,0.77,120.039,5UwxpuGHkwiojKDaPC5ZNu,148000
114,0.719,0.756,-5.392,0.0761,0.0541,0.0,0.109,0.647,105.024,25Kyv5SeEenT0EETpP2hYn,219500
115,0.697,0.653,-7.284,0.102,0.166,0.231,0.0911,0.627,99.982,6oOCGD2Sp9UTcDsuDz8Hdu,174545
116,0.92,0.716,-7.104,0.105,0.296,0.00222,0.104,0.961,115.991,4eZZofkV1OQ9GDqAgHqNpA,183103
117,0.699,0.703,-7.651,0.273,0.517,0.0216,0.112,0.478,195.864,7AbLGIOzFkx6jHq5en5xiH,171429
118,0.744,0.627,-9.216,0.118,0.0496,0.000701,0.1,0.56,104.12,1LRGZESVn8eF7WVY5DzLNy,159500
119,0.847,0.72,-7.066,0.0375,0.0475,0.0,0.668,0.113,112.997,6RzTv3JiPndZpv0Lq3kGHO,275148
120,0.481,0.66,-10.189,0.0761,0.35,0.0,0.108,0.504,111.832,0GfCR4T6WOErZOw1557ln7,159100
121,0.788,0.913,-4.495,0.0671,0.243,0.0689,0.272,0.672,99.994,4MzOppXoeKvDsVaNMeOK3C,196800
122,0.779,0.79,-6.246,0.0612,0.0691,2.24e-05,0.506,0.484,113.064,2wgvxtggKVzPkl0smF2UzI,123717
123,0.872,0.555,-6.677,0.122,0.433,3.53e-06,0.125,0.544,113.998,5o3dCqgRTiSt6MC3Gi0jzj,187632
124,0.897,0.7,-2.776,0.117,0.0193,0.009,0.12,0.755,101.944,6jdTkoEaer7XNGSblczoSu,209760
125,0.737,0.663,-6.981,0.101,0.287,0.0508,0.523,0.839,98.014,2jZ2MrAk8iNZk1dsI0Vr5z,181224
126,0.787,0.746,-5.83,0.053,0.149,0.0014,0.275,0.722,117.905,47rtDAZmqRUjba0V1en3XY,172881
127,0.827,0.705,-6.756,0.0429,0.0813,0.00556,0.102,0.624,113.006,1zwZ26A7OA5wTrA3FejCLL,213992
128,0.597,0.739,-5.517,0.168,0.585,1.59e-05,0.212,0.73,104.808,4yaPPFIafaVaMRHZ5IHkbA,178414
129,0.923,0.657,-5.173,0.0605,0.199,0.00407,0.108,0.734,110.015,0SjQBdIddPvKSWxr8vk6QX,179775
130,0.823,0.717,-3.879,0.0704,0.0356,0.0,0.102,0.489,110.998,6McBvfxgkVfREmQPwTKBUn,132913
131,0.853,0.702,-5.822,0.112,0.627,6.26e-06,0.0947,0.895,116.994,7qxtOyjZ2zSaxBPH8fLyNi,136465
132,0.755,0.685,-3.724,0.0631,0.065,0.00186,0.107,0.799,76.683,3aGroTtXwkWJ7wOwKEI8Px,211875
133,0.905,0.747,-6.622,0.0442,0.117,0.000364,0.0505,0.866,117.008,7d1aTQlsHMgWmkPywDi7h1,166154
134,0.873,0.658,-8.031,0.108,0.00858,0.0061,0.0999,0.483,104.033,3ketN3dth18vSJ1T3HIztN,189800
135,0.812,0.775,-6.879,0.0389,0.0272,0.00191,0.121,0.582,104.983,4Mlgf7GD6bbx09N4uxqU3S,176988
136,0.798,0.556,-8.985,0.0471,0.364,8.31e-06,0.163,0.901,113.994,2woGTVY8Vx46aYuXfMmwwE,155861
137,0.914,0.721,-6.966,0.0413,0.0642,0.0352,0.0794,0.481,114.053,7zhLSGUbneW7Tm3wpp3HjY,182073
138,0.818,0.513,-11.382,0.0574,0.106,0.00105,0.0408,0.583,115.01,7tZMF9Hn5uGsfC7zGXbSKM,186000
139,0.931,0.676,-7.492,0.0498,0.0152,0.0,0.103,0.739,111.948,6NKuW3yaNXtloGw1RB8WUi,165000
140,0.654,0.666,-6.618,0.185,0.412,0.00493,0.113,0.804,209.929,45Vvoe20MW6GD7FwoacZc8,192000
141,0.543,0.482,-5.927,0.0526,0.286,0.000395,0.101,0.522,133.369,4vLY6fJQWgBzQYHzguDZme,201600
142,0.519,0.626,-6.353,0.0934,0.501,6.95e-06,0.161,0.394,102.293,5X55V3mn3RTvHAheUtL6LR,176000
143,0.737,0.806,-7.611,0.0685,0.117,0.0,0.275,0.502,125.018,0xPz8qjfchKRCAmABJH65Z,246500
144,0.808,0.769,-7.207,0.0833,0.101,4.12e-05,0.119,0.685,116.001,1mJFFeluclL38IwV264lm9,153103
145,0.806,0.915,-3.102,0.0296,0.17,0.0,0.281,0.967,110.025,4QrZSUg5xCZpFKDIhJMU2Q,196472
146,0.821,0.611,-8.967,0.0535,0.0131,0.00393,0.0395,0.431,113.006,16vqEDaCZpq5zdgop8U9uM,327080
147,0.804,0.696,-7.269,0.0476,0.029,0.000707,0.0602,0.764,109.995,0h9NbR0ozxlNVnTXOX8xjk,224294
