,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id
169,0.767,0.862,-5.464,0.0606,0.14,0.0092,0.252,0.509,128.039,166570,3,1M8t1j3Kv2qp97bdq5q4Vl
170,0.761,0.781,-6.778,0.141,0.0681,0.108,0.0607,0.473,123.023,285375,3,5Z8Dj3LtbyCMiwE86rhg2f
171,0.609,0.912,-6.593,0.0391,0.0196,0.478,0.133,0.0391,135.027,204444,4,1eMUGMEWrvTXYWrPobq2dH
172,0.656,0.655,-6.766,0.024,0.02,0.00816,0.103,0.555,127.001,230946,3,3I10tZ5MgEMo4WryCNJkZQ
173,0.695,0.781,-5.578,0.0452,0.0185,3.12e-05,0.295,0.456,124.04,148960,0,4xMbBESczlHPUO8QeYi56p
174,0.628,0.738,-5.045,0.0367,0.0156,0.281,0.153,0.699,125.928,162879,3,4vyG9ZhHT8MKJE5mTICMFC
175,0.747,0.616,-9.76,0.0324,0.176,0.116,0.143,0.908,131.975,192151,3,5u4hhtZ7f4rWkMZEZcTKrH
176,0.605,0.874,-4.949,0.0295,0.000563,0.812,0.112,0.836,125.99,157432,3,0F2BxpbxH8Yc3pLub48hrb
177,0.735,0.72,-7.04,0.336,0.00105,0.15,0.382,0.364,124.174,403293,1,303ccTay2FiDTZ9fZ2AdBt
178,0.665,0.727,-8.073,0.0391,0.00984,0.394,0.172,0.397,133.922,198806,4,31B7wLv4yvtjDoTTmbnxeE
179,0.811,0.833,-4.259,0.153,0.014,2.06e-05,0.0769,0.567,120.258,252107,3,4t0UsYzmmmZRMTWn77jiGF
180,0.801,0.96,-5.534,0.264,0.0284,0.877,0.0985,0.101,126.045,217411,4,7jURkEKDVEm9sHueqUX0ko
181,0.748,0.908,-8.319,0.0504,0.0588,0.894,0.0943,0.0576,130.004,489480,4,6R84ZlQF7gGkPB6o3GLZXB
182,0.797,0.88,-5.722,0.0442,0.00298,0.574,0.183,0.357,125.996,157619,4,2FEUloDXMvRnyfLcsrCfkw
183,0.71,0.63,-7.003,0.0413,0.00879,0.147,0.058,0.216,125.0,242880,4,48Jf12YHPBCAfAzi255Rvr
184,0.609,0.94,-6.097,0.0617,0.00124,0.269,0.15,0.238,128.001,188592,4,6txvQu0zUbiqG24A8XMLnK
185,0.761,0.867,-6.168,0.0499,0.259,0.615,0.0689,0.679,126.03,185896,3,2qRKTg13LJGHO4fmQTWT7x
186,0.784,0.888,-6.617,0.165,0.0158,0.892,0.169,0.13,135.995,360000,4,1tkS8yt5NwTZkqFvZMxM0F
187,0.636,0.892,-5.573,0.0386,0.000422,0.0954,0.156,0.456,125.003,125280,3,2XKsHHNCtKqk9cF35TRFyC
188,0.771,0.729,-6.577,0.0408,0.00161,0.672,0.217,0.63,123.027,189268,3,54hA0ldJYyT1huGfSeOjdQ
189,0.817,0.876,-7.485,0.046,0.0332,0.199,0.412,0.671,131.022,289472,0,0hJfuyUwtEYMlGgvr3nzz9
190,0.702,0.912,-8.687,0.0652,0.0773,0.309,0.0926,0.957,128.018,200551,3,33tYADyL2aZctrvR59K1bQ
